,CustomerID,First_Name,Last_Name,Phone_Number,Address,Paying Customer,Do_Not_Contact
0,1001,Frodo,Baggins,123-545-542-1,"123 Shire Lane, Shire",Y,No
1,1002,Abed,Nadir,123-643-977-5,93 West Main Street,N,Yes
2,1003,Walter,White,706-695-039-2,298 Drugs Driveway,N, 
3,1004,Dwight,Schrute,123-543-234-5,"980 Paper Avenue, Pennsylvania, 18503",Y,Y
4,1005,Jon,Snow,876-678-346-9,123 Dragons Road,Y,No
5,1006,Ron,Swanson,304-762-246-7,768 City Parkway,Y,Yes
6,1007,Jeff,  Winger,---,1209 South Street,N,No
7,1008,Sherlock,Holmes,876-678-346-9,98 Clue Drive,N,No
8,1009,Gandalf,,---,123 Middle Earth,Y, 
9,1010,Peter,Parker,123-545-542-1,"25th Main Street, New York",Y,No
10,1011,Samwise,Gamgee,---,"612 Shire Lane, Shire",Y,No
11,1012,Harry,Potter,706-695-039-2,2394 Hogwarts Avenue,Y, 
12,1013,Don,Draper,123-543-234-5,2039 Main Street,Y,N
13,1014,Leslie,Knope,876-678-346-9,343 City Parkway,Y,No
14,1015,Toby,Flenderson,304-762-246-7,214 HR Avenue,N,No
15,1016,Ron,Weasley,123-545-542-1,2395 Hogwarts Avenue,N,N
16,1017,Michael ,Scott,123-643-977-5,"121 Paper Avenue, Pennsylvania",Y,No
17,1018,Clark,Kent,706-695-039-2,3498 Super Lane,Y, 
18,1019,Creed,Braton,---,N/a,,Yes
19,1020,Anakin,Skywalker,876-678-346-9,"910 Tatooine Road, Tatooine",Y,N
